date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:49	105/105	---M-Z	200	added ('OK')	text/plain	etag:%22aac549554b1e349619513573be3e82c5%22	https://mairamansoor.framer.website/robots.txt		(from )
15:44:49	150158/150158	---M-Z	200	added ('OK')	text/html	etag:%223b3b6251dd378df46c471c05c91d86d3%22	https://mairamansoor.framer.website/	C:/Maira/Portfolio%20Downloads/May-26/mairamansoor.framer.website/index.html	(from )
15:44:50	305/305	---MC-	200	added ('OK')	image/png	etag:%22a9ed8b8e8857ee4a7e13d205d42d2d4a%22	https://framerusercontent.com/images/9oCJKrrrn3INyWFroEzUEGMUM.png	C:/Maira/Portfolio%20Downloads/May-26/framerusercontent.com/images/9oCJKrrrn3INyWFroEzUEGMUM.png	(from https://mairamansoor.framer.website/)
15:44:51	10365/10365	---MC-	200	added ('OK')	image/png	etag:%224c7a23f27e8f6f5be7d6dbb267c160bd%22	https://framerusercontent.com/images/9JuFISFtSP87upELVvL4XG3BQ.png?width=552&height=562	C:/Maira/Portfolio%20Downloads/May-26/framerusercontent.com/images/9JuFISFtSP87upELVvL4XG3BQb9c2.png	(from https://mairamansoor.framer.website/)
15:44:52	472682/472682	---MC-	200	added ('OK')	image/jpeg	etag:%227bb4801bbc7fad68385e0e88b3377562%22	https://framerusercontent.com/images/hQXs0LXv7QNXzZvrCQ9z0PJ9A.jpg?width=1310&height=1310	C:/Maira/Portfolio%20Downloads/May-26/framerusercontent.com/images/hQXs0LXv7QNXzZvrCQ9z0PJ9Ae685.jpg	(from https://mairamansoor.framer.website/)
15:44:52	214693/214693	---M-Z	200	added ('OK')	text/html	etag:%22e61a0ed492fa0b046a22f5065c97473a%22	https://mairamansoor.framer.website/cisco-u	C:/Maira/Portfolio%20Downloads/May-26/mairamansoor.framer.website/cisco-u.html	(from https://mairamansoor.framer.website/)
15:44:54	169410/169410	---MC-	200	added ('OK')	image/png	etag:%2277915d23ceb038f5bfd700183dbe1433%22	https://framerusercontent.com/images/P4sTVUV2S2IK4hbzxwZC4AwcKA.png?width=2075&height=1541	C:/Maira/Portfolio%20Downloads/May-26/framerusercontent.com/images/P4sTVUV2S2IK4hbzxwZC4AwcKA1ad2.png	(from https://mairamansoor.framer.website/)
15:44:54	197875/197875	---M-Z	200	added ('OK')	text/html	etag:%228d46b58efd3bc97f2d772b07219d4eff%22	https://mairamansoor.framer.website/mmbl	C:/Maira/Portfolio%20Downloads/May-26/mairamansoor.framer.website/mmbl.html	(from https://mairamansoor.framer.website/)
15:44:56	209678/209678	---MC-	200	added ('OK')	image/png	etag:%22cfc87fda8df26359ce83cd13ff7be137%22	https://framerusercontent.com/images/FaDVA1CRjUkWpneswndSt80tP8.png?width=2075&height=1541	C:/Maira/Portfolio%20Downloads/May-26/framerusercontent.com/images/FaDVA1CRjUkWpneswndSt80tP81ad2.png	(from https://mairamansoor.framer.website/)
15:44:57	242383/242383	---M-Z	200	added ('OK')	text/html	etag:%22b8240caf69c954d5807e5e9faf3694b0%22	https://mairamansoor.framer.website/capstone	C:/Maira/Portfolio%20Downloads/May-26/mairamansoor.framer.website/capstone.html	(from https://mairamansoor.framer.website/)
